what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329220795172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329220800509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329220804877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329220823914
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329220831583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329220835861
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1329220844112
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329220845373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329220850186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329220881351
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1329220881393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329220887521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329220890754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1329220890783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329220901269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329220908734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329220910522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329220916200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329220977505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329221293539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329221321094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329221325726
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329221401418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329221954358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329221956493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329222040068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329222127303
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329222185288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329222309530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329222795806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329222798479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329222800406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329222918057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329223130865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329223616538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329223624461
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223718402
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223721393
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223722263
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223723014
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223723545
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223725442
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329223783320
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223944552
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223944552
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223945786
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223946382
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223946382
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223947009
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223947721
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223947721
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223993203
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223993203
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223994832
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223994832
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223999964
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329223999964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224009671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224032123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224035923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224035969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224035979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224068559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224071705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224071758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224071769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224135335
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329224137093
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1329224137422
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1329224137435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224140059
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224490218
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329224490246
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329224491682
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1329224491939
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1329224491941
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1329224491992
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1329224491994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224494206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224499942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1329224499974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224500292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224500970
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224501272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224688684
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329224689139
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329224729184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224751051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224753008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224753546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224754346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224756224
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329224770975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224771054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329224772348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224775833
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224808287
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329224810898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329224816759
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329224820339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224821666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224886122
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1329224894030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224904109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329224919511
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329224919675
