what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240505050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240505060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240543908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240545134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240703519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240709575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240746392
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329240748903
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329240768838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329240771151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329240774380
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329240805180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329240806979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329240833420
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329240833865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240835936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240976914
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329240978786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240979793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240983972
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329240984131
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1329240984132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1329240989093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240996791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329240999478
